,datetime,updated,headline,summary,symbols,sensation
0,2016-01-06 09:24:06,2016-01-06 09:24:06,"City of Zhengzhou, China Offering Foxconn $12M+ in Subsidies to Minimize Layoffs as Apple Said to Cut Back on iPhone Production -Wall Street Journal",,"['AAPL', 'HNHPF']"," -0.344 

In the given sentence, the aspect is ""AAPL"" (Apple Inc.). The sentiment strength for this sentence is -0.344."
1,2016-01-06 11:16:20,2016-01-06 11:16:20,Jim Cramer Advises His Viewers On Match Group Inc And Pandora Media Inc,,"['AAPL', 'MTCH', 'P']"," 0.12 

In the first example, Morrisons is experiencing sales growth for two consecutive quarters, which indicates a positive sentiment. The second example shows IMI's drop in first-quarter organic revenue and warning on full-year performance, indicating a negative sentiment. In the third example, Jim Cramer advises his viewers on Match Group Inc and Pandora Media Inc, but the aspect is AAPL (Apple Inc), which has a neutral sentiment strength of 0.12."
2,2016-01-06 11:22:35,2016-01-06 11:22:35,"Apple Trading @$99.90 in Premarket; First Time Apple Traded Below $100 Since August 24, 2015",,['AAPL']," -0.17 

In the given sentence, the aspect is ""AAPL"" (Apple). The sentiment strength for this sentence is -0.17."
3,2016-01-06 11:42:38,2016-01-06 11:42:38,"JP Morgan Positive On Apple, Appreciates Co Focus On Increasing LatAm Retail Presence",,['AAPL']," 0.678 

In the given sentences, you need to analyze the sentiment strength of the aspect mentioned in each sentence. For example, in the first sentence, the aspect is ""Morrisons"" and the sentiment strength is 0.43. In the second sentence, the aspect is ""IMI"" and the sentiment strength is -0.344. Similarly, in the third sentence, the aspect is ""AAPL"" and the sentiment strength is 0.678."
4,2016-01-06 11:57:56,2016-01-06 11:57:57,Facebook To Take On FaceTime and Skype,,"['AAPL', 'FB', 'MSFT']"," 0.12 

In the given sentence, ""Facebook To Take On FaceTime and Skype"", the aspect is ""AAPL"". The sentiment strength for this sentence is 0.12."
5,2016-01-06 12:26:13,2016-01-06 12:26:14,"NXP Semi Shares Continuing Lower Pre Market, Down ~2.5%, Following Mid-Day Report Tues. of Expected Apple iPhone Output Reductions",,"['AAPL', 'NXPI']"," -0.17 

In the given sentence, the aspect is ""AAPL"" (Apple Inc.). The sentiment strength for this sentence is -0.17."
6,2016-01-06 13:36:15,2016-01-06 13:36:15,"Hearing Apple Has Said App Store Had Largest-Ever Day on Jan. 1, 2016",,['AAPL']," 0.578 

In the given sentence, the aspect is ""AAPL"" (Apple Inc.). The sentiment strength for this sentence is 0.578."
7,2016-01-06 13:36:51,2016-01-06 13:36:51,"UPDATE: Apple Said During Two Weeks Ending Jan. 3, '16, Users Spent $1.1B+ on Apps",,['AAPL']," 0.578 

In the given examples, the sentiment strength values are provided for different aspects (Morrisons, IMI, and AAPL). These values represent the positive or negative sentiment associated with each aspect in the respective sentences."
8,2016-01-06 14:22:35,2016-01-06 14:22:36,Legg Mason Enters ETF Arena With Four Funds,,"['AAPL', 'AMZN', 'DDBI', 'EDBI', 'GIS', 'KO', 'LM', 'LVHD', 'TEVA', 'UDBI', 'VRX', 'WMT']"," 0.12 

In the given sentence, ""Legg Mason Enters ETF Arena With Four Funds"", the aspect is ""AAPL"". The sentiment strength for this sentence is 0.12."
9,2016-01-06 14:43:58,2016-01-06 14:44:00,'Bozo Culture At Apple' Author Responds To Reader Questions,,"['AAPL', 'SBUX', 'TSLA']"," -0.12 

In the given sentence, the aspect is ""AAPL"" (Apple Inc.). The sentiment strength for this sentence is -0.12."
