,headline,sensation,gpt4all-falcon-q4_0.gguf,gpt4all-13b-snoozy-q4_0.gguf,nous-hermes-llama2-13b.Q4_0.gguf,orca-2-13b.Q4_0.gguf,wizardlm-13b-v1.2.Q4_0.gguf
2225,`` I am extremely delighted with this project and the continuation of cooperation with Viking Line ,positive,"['Based on the given text, the sentiment of the news is positive.', 'The strength rate of the sentiment of the news is 90.']","['Positive', 'The strength rate of the sentiment of this news is 95']","[' Positive', "" I am sorry but I don't have enough context or information about the project and continuation of cooperation with Viking Line to determine a sentiment score for this news. Could you please provide more details?""]","['Positive', '85']","['Positive', '95']"
1909,The real estate company posted a net loss of +? x201a -?59.3 million +? x201a -?0.21 per share compared with a net profit of +? x201a -?31 million +? x201a -?0.11 per share for the corresponding quarter of 2007 ,negative,"['The sentiment of this news is negative.', 'The strength rate of the sentiment of this news is 50.']","['Possible answer: Negative', 'Strength rate: 75']","[' The sentiment is negative.', ' I am sorry but I do not understand what you mean by ""strength rate"". Could you please rephrase your question or provide more context so that I can assist you better?']","['Negative', '85']","['Negative', 'The strength rate of the sentiment in this news is approximately 25 out of 100.']"
227,"In the reporting period , net sales rose by 8 % year-on-year to EUR64 .3 m , due to the business acquisitions realized during the first half of 2008-09 , the effect of which was EUR10 .9 m in the review period ",positive,"['The sentiment of this news is positive.', 'The strength rate of the sentiment of this news is 90.']","['Positive', 'Strength rate = 85']","[' The sentiment is positive.', ' I am sorry but as an AI assistant, I do not have the capability to determine a strength rate for sentiment.']","['Positive', '75']","['Positive', '85']"
1613,Combined net sales in 2006 were $ 27 million and EBITDA was $ 13.7 million ,neutral,"['Based on the information provided, it appears that the sentiment of the news is neutral.', 'The strength rate of the sentiment of the news is 50.']","['Positive', 'Strength rate = 85']","[' The sentiment would be positive based on the given information about increased revenue and profitability.', "" The strength rate would depend on various factors such as industry standards and expectations for revenue and profitability. Without that context, it is difficult to assign a specific numerical value for the sentiment's strength rate.""]","['Neutral', '75']","['Positive', '85']"
1703,Profit after taxes totaled EUR 12.1 mn ,neutral,"['The sentiment of this news is positive.', 'The strength rate of the sentiment of this news is 90.']","['Positive', 'Strength rate = 85']","[' Positive', ' I am sorry but I don\'t understand what you mean by ""strength rate"". Could you please rephrase your question or provide more context so that I can assist you better?']","['Positive', '75']","['Positive', '85']"
1166,An EU law on the issue may be introduced around 2010 ,neutral,"['The sentiment of this news is neutral.', 'The strength rate of the sentiment of this news is 50.']","['Possible responses for a positive sentiment could include ""optimistic,"" ""encouraging,"" or ""hopeful."" Possible responses for a neutral sentiment could include ""uncertain"" or ""wait-and-see."" Possible responses for a negative sentiment could include ""disappointed,"" ""frustrated,"" or ""unhappy.""', 'The strength rate for a positive sentiment could be around 85-90, while the strength rate for a negative sentiment could be around 20-30. The strength rate for a neutral sentiment would depend on how strongly you feel about it and may vary from person to person.']","[' Positive', ' I\'m sorry but I don\'t understand what you mean by ""strength rate"". Could you please rephrase your question or provide more context so that I can assist you better?']","['Neutral', '65']","['The sentiment of this news about an EU law being introduced in 2010 is neutral, as it does not express any strong positive or negative emotions towards the topic.', 'The strength rate of the sentiment in this news about an EU law being introduced around 2010 is approximately 50 out of 100. This indicates that the sentiment expressed is moderate and not particularly strong or weak.']"
1085,The Line 4 will run fully underground and will comprise 10 stations which will be executed in two implementation stages ,neutral,"['The sentiment of this news is positive.', 'The strength rate of the sentiment of this news is 90.']","['Positive', 'The strength rate of the sentiment of this news is 85']","[' Positive', "" I am sorry but as an AI assistant, I do not have access to any data or information about the public's sentiment towards a specific news article. Therefore, I cannot determine the strength rate of the sentiment for this particular news.""]","['Positive', '75']","['Positive', '85']"
732,"The stock is trading above both its MAPs and the 50-day MAP of SEK72 .983 is higher than the 200-day MAP of SEK70 .283 , a bullish indicator ",positive,"['Positive.', '90.']","['Positive', 'Strength rate = 85']","['Positive', ' I am sorry but I do not have enough information about the context and relevance of the news you mentioned to determine its strength rate. Could you please provide more details or clarify your question?']","['Positive', '75']","['Positive', '85']"
2117,"Finnish GeoSentric 's net sales decreased to EUR 939,000 in January-March 2009 ",negative,"['Negative.', 'Strength rate: 60.']","['Positive', 'The strength rate of the sentiment of this news is 75']","[' The sentiment is neutral.', ' I\'m sorry but I don\'t understand what you mean by ""strength rate"". Could you please rephrase your question or provide more context so that I can assist you better?']","['Negative', '35']","['The sentiment is neutral.', 'I would rate it as a 50 on the strength scale.']"
233,"Nevertheless , its market share rose to 49.14 percent from 48.51 percent a year earlier ",positive,"['Negative.', 'Strength rate: 50.']","['Positive', 'Strength rate = 85']","['Positive', ' I\'m sorry but I don\'t understand what you mean by ""strength rate"". Could you please rephrase your question or provide more context so that I can assist you better?']","['Positive', '75']","['Positive', '85']"
