x,y,line,algo,new_x,new_y,new_size,new_color,new_year,new_country,old_x,old_y,old_size,old_color,old_year,old_country,multiplicity[1;67]
-0.098360824,-7.130686715,0,year_only,gdp,life_expect,population,continent,1800,[],gdp,life_expect,population,continent,1800,[],67
0.349568718,-7.167821763,0,year_only,gdp,life_expect,population,continent,1802,[],gdp,life_expect,population,continent,1800,[],3
0.876214122,-7.254668246,0,year_only,gdp,life_expect,population,continent,1804,[],gdp,life_expect,population,continent,1802,[],3
1.469967498,-7.404316368,0,year_only,gdp,life_expect,population,continent,1806,[],gdp,life_expect,population,continent,1804,[],3
4.339622297,-7.742315943,0,year_only,gdp,life_expect,population,continent,1808,[],gdp,life_expect,population,continent,1806,[],3
8.553010992,-8.036151408,0,year_only,gdp,life_expect,population,continent,1810,[],gdp,life_expect,population,continent,1808,[],9
9.061120095,-8.069011511,0,year_only,gdp,life_expect,population,continent,1812,[],gdp,life_expect,population,continent,1810,[],3
9.455275367,-7.977496352,0,year_only,gdp,life_expect,population,continent,1814,[],gdp,life_expect,population,continent,1812,[],3
9.844450258,-7.992653326,0,year_only,gdp,life_expect,population,continent,1816,[],gdp,life_expect,population,continent,1814,[],3
10.15815166,-8.0676237,0,year_only,gdp,life_expect,population,continent,1818,[],gdp,life_expect,population,continent,1816,[],3
10.41685294,-8.145441405,0,year_only,gdp,life_expect,population,continent,1820,[],gdp,life_expect,population,continent,1818,[],9
10.70876841,-8.142639586,0,year_only,gdp,life_expect,population,continent,1822,[],gdp,life_expect,population,continent,1820,[],3
10.98589812,-8.248522526,0,year_only,gdp,life_expect,population,continent,1824,[],gdp,life_expect,population,continent,1822,[],3
11.26045196,-8.244873683,0,year_only,gdp,life_expect,population,continent,1826,[],gdp,life_expect,population,continent,1824,[],3
11.51315772,-8.152259567,0,year_only,gdp,life_expect,population,continent,1828,[],gdp,life_expect,population,continent,1826,[],3
11.7654784,-8.117529939,0,year_only,gdp,life_expect,population,continent,1830,[],gdp,life_expect,population,continent,1828,[],9
11.96768103,-8.322305272,0,year_only,gdp,life_expect,population,continent,1832,[],gdp,life_expect,population,continent,1830,[],3
12.15722495,-8.200403739,0,year_only,gdp,life_expect,population,continent,1834,[],gdp,life_expect,population,continent,1832,[],3
12.37684492,-8.176079218,0,year_only,gdp,life_expect,population,continent,1836,[],gdp,life_expect,population,continent,1834,[],3
12.57304131,-8.015904831,0,year_only,gdp,life_expect,population,continent,1838,[],gdp,life_expect,population,continent,1836,[],3
12.78834666,-7.933311607,0,year_only,gdp,life_expect,population,continent,1840,[],gdp,life_expect,population,continent,1838,[],9
-0.098360824,-7.130686715,1,year_only,gdp,life_expect,population,continent,1800,[],gdp,life_expect,population,continent,1840,[],67
0.349568718,-7.167821763,1,year_only,gdp,life_expect,population,continent,1802,[],gdp,life_expect,population,continent,1800,[],3
0.876214122,-7.254668246,1,year_only,gdp,life_expect,population,continent,1804,[],gdp,life_expect,population,continent,1802,[],3
1.469967498,-7.404316368,1,year_only,gdp,life_expect,population,continent,1806,[],gdp,life_expect,population,continent,1804,[],3
4.339622297,-7.742315943,1,year_only,gdp,life_expect,population,continent,1808,[],gdp,life_expect,population,continent,1806,[],3
8.553010992,-8.036151408,1,year_only,gdp,life_expect,population,continent,1810,[],gdp,life_expect,population,continent,1808,[],9
9.061120095,-8.069011511,1,year_only,gdp,life_expect,population,continent,1812,[],gdp,life_expect,population,continent,1810,[],3
9.455275367,-7.977496352,1,year_only,gdp,life_expect,population,continent,1814,[],gdp,life_expect,population,continent,1812,[],3
9.844450258,-7.992653326,1,year_only,gdp,life_expect,population,continent,1816,[],gdp,life_expect,population,continent,1814,[],3
10.15815166,-8.0676237,1,year_only,gdp,life_expect,population,continent,1818,[],gdp,life_expect,population,continent,1816,[],3
10.41685294,-8.145441405,1,year_only,gdp,life_expect,population,continent,1820,[],gdp,life_expect,population,continent,1818,[],9
10.70876841,-8.142639586,1,year_only,gdp,life_expect,population,continent,1822,[],gdp,life_expect,population,continent,1820,[],3
10.98589812,-8.248522526,1,year_only,gdp,life_expect,population,continent,1824,[],gdp,life_expect,population,continent,1822,[],3
11.26045196,-8.244873683,1,year_only,gdp,life_expect,population,continent,1826,[],gdp,life_expect,population,continent,1824,[],3
11.51315772,-8.152259567,1,year_only,gdp,life_expect,population,continent,1828,[],gdp,life_expect,population,continent,1826,[],3
11.7654784,-8.117529939,1,year_only,gdp,life_expect,population,continent,1830,[],gdp,life_expect,population,continent,1828,[],9
11.96768103,-8.322305272,1,year_only,gdp,life_expect,population,continent,1832,[],gdp,life_expect,population,continent,1830,[],3
12.15722495,-8.200403739,1,year_only,gdp,life_expect,population,continent,1834,[],gdp,life_expect,population,continent,1832,[],3
12.37684492,-8.176079218,1,year_only,gdp,life_expect,population,continent,1836,[],gdp,life_expect,population,continent,1834,[],3
12.57304131,-8.015904831,1,year_only,gdp,life_expect,population,continent,1838,[],gdp,life_expect,population,continent,1836,[],3
12.78834666,-7.933311607,1,year_only,gdp,life_expect,population,continent,1840,[],gdp,life_expect,population,continent,1838,[],9
-0.098360824,-7.130686715,2,year_only,gdp,life_expect,population,continent,1800,[],gdp,life_expect,population,continent,1840,[],67
0.349568718,-7.167821763,2,year_only,gdp,life_expect,population,continent,1802,[],gdp,life_expect,population,continent,1800,[],3
0.876214122,-7.254668246,2,year_only,gdp,life_expect,population,continent,1804,[],gdp,life_expect,population,continent,1802,[],3
1.469967498,-7.404316368,2,year_only,gdp,life_expect,population,continent,1806,[],gdp,life_expect,population,continent,1804,[],3
4.339622297,-7.742315943,2,year_only,gdp,life_expect,population,continent,1808,[],gdp,life_expect,population,continent,1806,[],3
8.553010992,-8.036151408,2,year_only,gdp,life_expect,population,continent,1810,[],gdp,life_expect,population,continent,1808,[],9
9.061120095,-8.069011511,2,year_only,gdp,life_expect,population,continent,1812,[],gdp,life_expect,population,continent,1810,[],3
9.455275367,-7.977496352,2,year_only,gdp,life_expect,population,continent,1814,[],gdp,life_expect,population,continent,1812,[],3
9.844450258,-7.992653326,2,year_only,gdp,life_expect,population,continent,1816,[],gdp,life_expect,population,continent,1814,[],3
10.15815166,-8.0676237,2,year_only,gdp,life_expect,population,continent,1818,[],gdp,life_expect,population,continent,1816,[],3
10.41685294,-8.145441405,2,year_only,gdp,life_expect,population,continent,1820,[],gdp,life_expect,population,continent,1818,[],9
10.70876841,-8.142639586,2,year_only,gdp,life_expect,population,continent,1822,[],gdp,life_expect,population,continent,1820,[],3
10.98589812,-8.248522526,2,year_only,gdp,life_expect,population,continent,1824,[],gdp,life_expect,population,continent,1822,[],3
11.26045196,-8.244873683,2,year_only,gdp,life_expect,population,continent,1826,[],gdp,life_expect,population,continent,1824,[],3
11.51315772,-8.152259567,2,year_only,gdp,life_expect,population,continent,1828,[],gdp,life_expect,population,continent,1826,[],3
11.7654784,-8.117529939,2,year_only,gdp,life_expect,population,continent,1830,[],gdp,life_expect,population,continent,1828,[],9
11.96768103,-8.322305272,2,year_only,gdp,life_expect,population,continent,1832,[],gdp,life_expect,population,continent,1830,[],3
12.15722495,-8.200403739,2,year_only,gdp,life_expect,population,continent,1834,[],gdp,life_expect,population,continent,1832,[],3
12.37684492,-8.176079218,2,year_only,gdp,life_expect,population,continent,1836,[],gdp,life_expect,population,continent,1834,[],3
12.57304131,-8.015904831,2,year_only,gdp,life_expect,population,continent,1838,[],gdp,life_expect,population,continent,1836,[],3
12.78834666,-7.933311607,2,year_only,gdp,life_expect,population,continent,1840,[],gdp,life_expect,population,continent,1838,[],9
-0.098360824,-7.130686715,3,year_only,gdp,life_expect,population,continent,1800,[],gdp,life_expect,population,continent,1840,[],67
1.185021014,-7.328404356,3,year_only,gdp,life_expect,population,continent,1805,[],gdp,life_expect,population,continent,1800,[],3
8.553010992,-8.036151408,3,year_only,gdp,life_expect,population,continent,1810,[],gdp,life_expect,population,continent,1805,[],9
9.64095282,-7.970849969,3,year_only,gdp,life_expect,population,continent,1815,[],gdp,life_expect,population,continent,1810,[],3
10.41685294,-8.145441405,3,year_only,gdp,life_expect,population,continent,1820,[],gdp,life_expect,population,continent,1815,[],9
11.12568144,-8.321630611,3,year_only,gdp,life_expect,population,continent,1825,[],gdp,life_expect,population,continent,1820,[],3
11.7654784,-8.117529939,3,year_only,gdp,life_expect,population,continent,1830,[],gdp,life_expect,population,continent,1825,[],9
12.26606631,-8.196577216,3,year_only,gdp,life_expect,population,continent,1835,[],gdp,life_expect,population,continent,1830,[],3
12.78834666,-7.933311607,3,year_only,gdp,life_expect,population,continent,1840,[],gdp,life_expect,population,continent,1835,[],9
13.14038277,-7.770637443,3,year_only,gdp,life_expect,population,continent,1845,[],gdp,life_expect,population,continent,1840,[],3
13.5935189,-7.602583685,3,year_only,gdp,life_expect,population,continent,1850,[],gdp,life_expect,population,continent,1845,[],6
22.43209204,-6.107296717,3,year_only,gdp,life_expect,population,continent,1855,[],gdp,life_expect,population,continent,1850,[],3
22.98055146,-5.840625701,3,year_only,gdp,life_expect,population,continent,1860,[],gdp,life_expect,population,continent,1855,[],6
23.44668143,-5.608686202,3,year_only,gdp,life_expect,population,continent,1865,[],gdp,life_expect,population,continent,1860,[],3
23.95813433,-5.576383151,3,year_only,gdp,life_expect,population,continent,1870,[],gdp,life_expect,population,continent,1865,[],6
24.46298676,-5.524153001,3,year_only,gdp,life_expect,population,continent,1875,[],gdp,life_expect,population,continent,1870,[],3
24.93059718,-5.406567859,3,year_only,gdp,life_expect,population,continent,1880,[],gdp,life_expect,population,continent,1875,[],6
25.45619589,-5.242707127,3,year_only,gdp,life_expect,population,continent,1885,[],gdp,life_expect,population,continent,1880,[],3
25.93844479,-5.049043197,3,year_only,gdp,life_expect,population,continent,1890,[],gdp,life_expect,population,continent,1885,[],6
26.39309056,-4.867357936,3,year_only,gdp,life_expect,population,continent,1895,[],gdp,life_expect,population,continent,1890,[],3
26.81901083,-4.699120755,3,year_only,gdp,life_expect,population,continent,1900,[],gdp,life_expect,population,continent,1895,[],6
-0.098360824,-7.130686715,4,year_only,gdp,life_expect,population,continent,1800,[],gdp,life_expect,population,continent,1900,[],67
1.185021014,-7.328404356,4,year_only,gdp,life_expect,population,continent,1805,[],gdp,life_expect,population,continent,1800,[],3
8.553010992,-8.036151408,4,year_only,gdp,life_expect,population,continent,1810,[],gdp,life_expect,population,continent,1805,[],9
9.64095282,-7.970849969,4,year_only,gdp,life_expect,population,continent,1815,[],gdp,life_expect,population,continent,1810,[],3
10.41685294,-8.145441405,4,year_only,gdp,life_expect,population,continent,1820,[],gdp,life_expect,population,continent,1815,[],9
11.12568144,-8.321630611,4,year_only,gdp,life_expect,population,continent,1825,[],gdp,life_expect,population,continent,1820,[],3
11.7654784,-8.117529939,4,year_only,gdp,life_expect,population,continent,1830,[],gdp,life_expect,population,continent,1825,[],9
12.26606631,-8.196577216,4,year_only,gdp,life_expect,population,continent,1835,[],gdp,life_expect,population,continent,1830,[],3
12.78834666,-7.933311607,4,year_only,gdp,life_expect,population,continent,1840,[],gdp,life_expect,population,continent,1835,[],9
13.14038277,-7.770637443,4,year_only,gdp,life_expect,population,continent,1845,[],gdp,life_expect,population,continent,1840,[],3
13.5935189,-7.602583685,4,year_only,gdp,life_expect,population,continent,1850,[],gdp,life_expect,population,continent,1845,[],6
22.43209204,-6.107296717,4,year_only,gdp,life_expect,population,continent,1855,[],gdp,life_expect,population,continent,1850,[],3
22.98055146,-5.840625701,4,year_only,gdp,life_expect,population,continent,1860,[],gdp,life_expect,population,continent,1855,[],6
23.44668143,-5.608686202,4,year_only,gdp,life_expect,population,continent,1865,[],gdp,life_expect,population,continent,1860,[],3
23.95813433,-5.576383151,4,year_only,gdp,life_expect,population,continent,1870,[],gdp,life_expect,population,continent,1865,[],6
24.46298676,-5.524153001,4,year_only,gdp,life_expect,population,continent,1875,[],gdp,life_expect,population,continent,1870,[],3
24.93059718,-5.406567859,4,year_only,gdp,life_expect,population,continent,1880,[],gdp,life_expect,population,continent,1875,[],6
25.45619589,-5.242707127,4,year_only,gdp,life_expect,population,continent,1885,[],gdp,life_expect,population,continent,1880,[],3
25.93844479,-5.049043197,4,year_only,gdp,life_expect,population,continent,1890,[],gdp,life_expect,population,continent,1885,[],6
26.39309056,-4.867357936,4,year_only,gdp,life_expect,population,continent,1895,[],gdp,life_expect,population,continent,1890,[],3
26.81901083,-4.699120755,4,year_only,gdp,life_expect,population,continent,1900,[],gdp,life_expect,population,continent,1895,[],6
-0.098360824,-7.130686715,5,year_only,gdp,life_expect,population,continent,1800,[],gdp,life_expect,population,continent,1900,[],67
1.185021014,-7.328404356,5,year_only,gdp,life_expect,population,continent,1805,[],gdp,life_expect,population,continent,1800,[],3
8.553010992,-8.036151408,5,year_only,gdp,life_expect,population,continent,1810,[],gdp,life_expect,population,continent,1805,[],9
9.64095282,-7.970849969,5,year_only,gdp,life_expect,population,continent,1815,[],gdp,life_expect,population,continent,1810,[],3
10.41685294,-8.145441405,5,year_only,gdp,life_expect,population,continent,1820,[],gdp,life_expect,population,continent,1815,[],9
